Interprete,Codigo,Nome,Trecho,Idioma,Catalogo
Renato Teixeira,1201,A VIOLA E O CANTADOR,La la la la... A viola tá soluçando,BRA,RAF
Eduardo Dusek,1202,"ALÔ, ALÔ BRASIL",Alô alô... quem fala é do Brasil,BRA,RAF
Titãs,1203,ANTES DE VOCÊ,Antes não pensava em você,BRA,RAF
Papas da Língua,1204,BALADA DO AMOR PERDIDO,Feche os olhos meu amor,BRA,RAF
Elizeth Cardoso,1205,CANÇÃO DA VOLTA,Nunca mais vou fazer o que ...,BRA,RAF
Rita Lee,1206,CECY BOM (C'EST SI BON),Cecy bom como diz o francês,BRA,RAF
Banda Calypso,1207,CHÁ DE MARACUJÁ,Não adianta ligar que eu não...,BRA,RAF
Jota Canalha,1208,CHATOS EM DESFILE,Se o cara chateia mesmo...,BRA,RAF
Tchê Garotos,1209,CHEGA DE DEPRÊ,Hoje vou sair vou encontrar alguns amigos,BRA,RAF
Alexandre Pires,1210,CIGANO,Era lindo o nosso amor a história de nós,BRA,RAF
Zizi Possi,1211,CORSÁRIO,Meu coração tropical tá coberto de,BRA,RAF
Inimigos da HP-Edson e Hudson,1212,DE PEITO ABERTO PRA QUEM QUER ME AMAR,Foi passou doeu e não dói mais...,BRA,RAF
Jota Quest,1213,DE VOLTA AO PLANETA DOS MACACOS,Lá fora todos os corações...,BRA,RAF
Fresno,1214,DESDE QUANDO VOCÊ SE FOI,Mais uma história com um ...,BRA,RAF
Liah,1215,E NÃO VOU MAIS DEIXAR VOCÊ TÃO SÓ,Se a vida inteira você esperou um grande,BRA,RAF
Elba Ramalho,1216,É SÓ VOCÊ QUERER,O meu amor é seu é só você ...,BRA,RAF
CPM 22,1217,ESTRANHO NO ESPELHO,Quem você vê quando me olha,BRA,RAF
Claudia Leitte,1218,HORIZONTE,Noite à toa sentimento de querer bem,BRA,RAF
Roger e Robson,1219,LINDA MENINA,Linda... menina linda nunca não perca,BRA,RAF
Zezé Di Camargo e Luciano,1220,NÃO QUERO TE PERDER,Quero sim um minuto do seu tempo só,BRA,RAF
Roupa Nova,1221,NATAL TODO DIA,Um clima de sonho se espalha no ar,BRA,RAF
Rodriguinho-Nana Damasceno,1222,O AMOR VENCEU,Conto os dias conto as horas,BRA,RAF
Teodoro e Sampaio,1223,O TREM TÁ FEIO,Disse que aqui mais nada é de graça,BRA,RAF
Forró do Muído,1224,PALÁCIOS E CASTELOS,Te pedi que me levasse a sério,BRA,RAF
Grupo Revelação,1225,PECADORA,Lêlê lêlê... Vai pecadora..,BRA,RAF
Monique Kessous,1226,PITANGUEIRA,Uma palavra de amor um pedaço do,BRA,RAF
Titãs,1227,PORQUE EU SEI QUE É AMOR,Porque eu sei que é amor,BRA,RAF
Chimarruts,1228,PRA ELA,Se um dia alguém te deixou,BRA,RAF
Eduardo Costa,1229,PRESENTE DE DEUS,Hoje quando parei pra pensar,BRA,RAF
Latino - Banda Calypso,1230,PROPOSTAS INDECENTES,Venha dancar o amor se...,BRA,RAF
Banda Eva-Netinho,1231,QUÍMICA PERFEITA,Quando ela me olhou não vi mais nada,BRA,RAF
Rick e Renner,1232,RIACHO SERENO,O riacho é sereno o caminho é,BRA,RAF
Emílio Santiago,1233,ROSA MORENA,Rosa morena onde vais morena Rosa,BRA,RAF
Jota Quest,1234,SEIS E TRINTA,Pareço contigo normal e do...,BRA,RAF
Skank,1235,SUTILMENTE,E quando eu estiver triste simplesmente,BRA,RAF
Jorge Vercilo,1236,TODA ESPERA,É a paciência foi pela vida...,BRA,RAF
Rud e Robson,1237,TOMAR UM GOLE,Eu to cansado de trabaiá eu quero,BRA,RAF
Waldick Soriano,1238,TORTURAS DE AMOR,Hoje que a noite está calma,BRA,RAF
Zélia Duncan,1239,TUDO SOBRE VOCÊ,Queria descobrir em vinte e quatro,BRA,RAF
Hugo e Tiago,1240,VIROU ROTINA,Todo dia a mesma coisa já...,BRA,RAF
Capital Inicial,1241,A VIDA É MINHA (EU FAÇO O QUE EU QUISER),Faça isso Faça aquilo perca peso tenha estilo,BRA,RAF
João Bosco e Vinícius,1242,"AH, É?",Olha sei que é alta madrugada...,BRA,RAF
Sá e Guarabyra,1243,ATRÁS POEIRA,Ele pegou um baio e como um raio,BRA,RAF
Nelson Gonçalves,1244,CARLOS GARDEL,Tango bandoneon uma guitarra que,BRA,RAF
Maria Cecília e Rodolfo,1245,COISAS ESOTÉRICAS,Coisas esotéricas me passam na cabeça,BRA,RAF
João Mineiro e Marciano,1246,CRISES DE AMOR,Só existe um caminho pra nós...,BRA,RAF
João Bosco e Vinícius,1247,CURTIÇÃO,Chega fazendo de conta que...,BRA,RAF
Pe. Fábio de Mello,1248,DEUS É CAPAZ,Deus é capaz de transformar tua vida,BRA,RAF
Titãs,1249,DOMINGO,Não sei o que fazer não sei o que,BRA,RAF
Bruno e Marrone,1250,DUAS VEZES VOCÊ,Se a saudade não doesse assim,BRA,RAF
Michel Teló-João Bosco e Vinícius,1251,"EI, PSIU, BEIJO, ME LIGA",Chegou e me notou fingiu que eu não sou,BRA,RAF
Nechvile,1252,EU NÃO VOU MAIS CHORAR,Amor vou te deixar mas não...,BRA,RAF
Zezé Di Camargo e Luciano,1253,FAÇA ALGUMA COISA,Faça alguma coisa enquanto é tempo,BRA,RAF
Erasmo Carlos,1254,FILHO ÚNICO,Ei mãe não sou mais menino,BRA,RAF
Bruno e Marrone,1255,FLASH BACK DE NÓS DOIS,Mas se quiser pode rolar um flash back de,BRA,RAF
Belo,1256,INCONDICIONALMENTE,Você vem me procurar faço tudo pra,BRA,RAF
Ritchie,1257,LÁGRIMAS DEMAIS,No seu mundo também bate o sol,BRA,RAF
Latino - Dudu Nobre,1258,ME DIVIRTO COM AS ERRADAS,Enquanto eu não encontro a,BRA,RAF
Banda Djavú,1259,ME LIBERA,O que pensa que eu sou,BRA,RAF
Jorge e Mateus,1260,MISTÉRIOS,Não há disfarce nesse seu...,BRA,RAF
Sampa Crew,1261,O ANJO E A FLOR,Preste atenção tudo é segredo,BRA,RAF
João Bosco e Vinícius,1262,O FORA,Cheguei atrasado pro encontro...,BRA,RAF
Lenine,1263,O SILÊNCIO DAS ESTRELAS,Solidão o silêncio das...,BRA,RAF
Forró do Muído,1264,PISADINHA DO MUÍDO,Alô DJ aperta o play deixa o som,BRA,RAF
Teodoro e Sampaio,1265,PITOCO,Ganhei um cachorrinho por nome de,BRA,RAF
Leonardo,1266,"POR FAVOR, REZA PRA NÓS",Por favor reza pra nós que a coisa tá,BRA,RAF
Edson e Hudson,1267,PRA NÃO CHORAR,Às vezes por impulso a gente fere tanto,BRA,RAF
Mylena,1268,QUANDO,Quando eu quis me aproximar,BRA,RAF
Ivete Sangalo,1269,QUANTO AO TEMPO,Lágrimas não são forever...,BRA,RAF
Banda Eva,1270,REGGAE DO PORTO,Entardeceu lá no porto palmas que lá vem o sol,BRA,RAF
D'Black,1271,REVOLTA,Diga ó vida me diga me dê...,BRA,RAF
Janaynna Targino,1272,SACANAGEM TUA,Sacanagem tua me deixar na...,BRA,RAF
Legião Urbana,1273,SE FIQUEI ESPERANDO MEU AMOR PASSAR,Se fiquei esperando meu amor...,BRA,RAF
Banda Calypso,1274,SEM DIREÇÃO,Eu tenho andado tão carente tão fora,BRA,RAF
Silvia Machete,1275,SIMPLESMENTE MULHER,Tantas... sou só uma e sou tantas,BRA,RAF
Ângela Maria,1276,TANGO PRA TEREZA,Hoje alguém pôs a rodar um disco de,BRA,RAF
Fernanda Takai,1277,TREVO DE QUATRO FOLHAS,Vivo esperando e procurando,BRA,RAF
Elizeth Cardoso,1278,ÚLTIMA FORMA,É como eu falei não ia durar,BRA,RAF
Fino Coletivo,1279,UMA RAIZ UMA FLOR,Não diga que as estrelas estão mortas,BRA,RAF
Leonardo,1280,VIAJEI,Não quis dizer não quis falar,BRA,RAF
Armandinho,1281,A FILHA,Quando me dá uma louca eu saio pra rua,BRA,RAF
LS Jack,1282,AMANHÃ NÃO SE SABE,Como as folhas com o vento,BRA,RAF
Daniel,1283,BOÊMIO APAIXONADO,Sou um viajante que passa,BRA,RAF
Chico Buarque,1284,BRISA DO MAR,Brisa do mar confidente do meu coração,BRA,RAF
Madrigal,1285,CABOCLA,Quando a luz do sol invade o céu,BRA,RAF
Djavan,1286,CAPIM,Capim do vale Vara de goiabeira,BRA,RAF
Ângela Maria-Emílio Santiago,1287,ESCUTA,Escuta vamos fazer um contrato enxuga o,BRA,RAF
Chico Buarque-Elza Soares,1288,FAÇAMOS (VAMOS AMAR),Os cidadãos no Japão fazem,BRA,RAF
Gilberto Gil,1289,FORRÓ NO ESCURO,O candeeiro se apagou o sanfoneiro,BRA,RAF
